Anforderung,",""Voraussetzung — requirement — Der Techniker gibt dem Mitarbeiter die Anforderung für das neue Gerät. — Forderung"""
Anschlüsse,",""Verbindungspunkte — connections — Der Ingenieur zeigt dem Azubi die Anschlüsse der Maschine. — Kontakte"""
Begriff,",""Ausdruck — term — Die Lehrerin erklärt dem Schüler den Begriff der Demokratie. — Konzept"""
umgekehrt,",""entgegengesetzt — reversed — Der Chef beschreibt dem Praktikanten die umgekehrte Reihenfolge der Aufgaben. — gegenteilig"""
stets außerhalb,",""immer draußen — always outside — Die Sicherheitskraft hält den Besucher stets außerhalb des Labors. — permanent draußen"""
verschmutze,",""schmutzig machen — to dirty — Der Arbeiter zeigt dem Kollegen die verschmutzte Anlage. — verunreinigen"""
Gefäße,",""Behälter — containers — Der Laborant stellt der Assistentin die Gefäße für die Probe bereit. — Behältnisse"""
verwendet,",""genutzt — used — Die Firma stellt dem Kunden das verwendete Material vor. — angewendet"""
ausreicht,",""genügt — is sufficient — Der Manager zeigt dem Team, dass das Budget für das Projekt ausreicht. — reicht"""
voraus,",""vorher — prior — Der Planer erklärt dem Kunden die Voraussetzungen voraus der Genehmigung. — vorab"""
festzulegen,",""bestimmen — to define — Der Chef bittet den Mitarbeiter, den Termin festzulegen. — festmachen"""
unbeaufsichtigt,",""ohne Aufsicht — unsupervised — Der Vater lässt das Kind nicht unbeaufsichtigt im Garten. — allein gelassen"""
Abschaltung,",""Stilllegung — shutdown — Der Techniker führt dem Lehrling die Abschaltung der Maschine vor. — Herunterfahren"""
Stromausfall,",""Unterbrechung — power outage — Der Elektriker meldet dem Vorgesetzten den Stromausfall im Gebäude. — Netzausfall"""
Sicherheitsvorkehrung,",""Schutzmaßnahme — safety precaution — Der Meister erklärt dem Team die Sicherheitsvorkehrungen im Labor. — Schutzvorkehrung"""
Bedienungsanleitung,",""Handbuch — user manual — Der Verkäufer gibt dem Kunden die Bedienungsanleitung für das Gerät. — Gebrauchsanweisung"""
erwägt,",""in Betracht ziehen — considers — Der Manager erklärt dem Kollegen, dass er eine neue Strategie erwägt. — nachdenken über"""
mittlerweile,",""inzwischen — meanwhile — Der Lehrer zeigt dem Schüler, was er mittlerweile gelernt hat. — unterdessen"""
