anschalten,"etwas einschalten, anmachen — to switch on / turn on — Ich schalte das Licht an. — einschalten, aktivieren"
verschieben,"etwas an anderen Ort oder Zeitpunkt legen — to postpone / move — Wir müssen das Meeting verschieben. — verlegen, umplanen"
Absicht,"geplanter Wille — intention / purpose — Es war keine Absicht. — Plan, Vorsatz"
berühmt,"sehr bekannt — famous — Sie ist eine berühmte Schauspielerin. — bekannt, populär"
Grundriss,Zeichnung vom Aufbau eines Gebäudes — floor plan / layout — Der Architekt zeigte uns den Grundriss. — Gebäudeplan
erneut,"noch einmal — again / once more — Er versuchte es erneut. — nochmals, wieder"
vorstellen,"jemanden präsentieren oder sich etwas denken — to introduce / imagine — Darf ich dir meinen Freund vorstellen? — einführen, sich denken"
Diele,"Eingang oder Flur in einem Haus — hallway / entrance hall — Die Jacken hängen in der Diele. — Flur, Eingangsbereich"
Vorgaben,"Regeln, an die man sich halten muss — guidelines / requirements — Wir müssen uns an die Vorgaben halten. — Richtlinien, Vorschriften"
Wendeltreppe,"Treppe, die sich spiralförmig dreht — spiral staircase — Die Wendeltreppe führt in den Keller. — Spiraltreppe"
erarbeiten,"etwas durch Arbeit entwickeln — to develop / work out — Wir müssen einen Plan erarbeiten. — ausarbeiten, entwickeln"
Vorschlag,"eine Empfehlung oder Idee — suggestion / proposal — Hast du einen Vorschlag? — Idee, Empfehlung"
macht aus,"etwas zu etwas machen — turns into / makes of — Sie macht das Beste aus der Situation. — ausmachen, ausschalten"
Säule,"stützender Pfeiler — column / pillar — Die Säule trägt das Dach. — Pfeiler, Stütze"
Bedenken,"Zweifel oder Sorgen — concerns / doubts — Ich habe Bedenken wegen des Plans. — Zweifel, Sorgen"
Statik,Stabilität eines Bauwerks — statics / structural analysis — Die Statik muss geprüft werden. — Tragwerkslehre
steil,"mit starkem Gefälle — steep — Der Weg ist sehr steil. — abschüssig, schräg"
Fertigdielen,"vorgefertigte Holzdielen — prefinished floorboards — Wir haben Fertigdielen gekauft. — Parkettdielen, Holzdielen"
Parkett,Holzboden aus vielen Stücken — parquet flooring — Das Wohnzimmer hat Parkett. — Holzfußboden
Fluch,böser Zauber — curse — Er glaubt an einen Fluch. — Verwünschung
Segen,"etwas sehr Gutes — blessing — Das war ein großer Segen. — Gunst, Glück"
Spielerei,etwas ohne großen Nutzen — gimmick — Das Gadget ist nur eine Spielerei. — Schnickschnack
Gegenwart,jetzige Zeit — present — In der Gegenwart leben ist wichtig. — Jetztzeit
Sicherheitsgefahren,"Risiken für Sicherheit — safety hazards — Wir müssen Sicherheitsgefahren vermeiden. — Risiken, Gefahren"
ausgestattet,"mit etwas versehen — equipped — Die Kamera ist gut ausgestattet. — ausgerüstet, versehen"
erleichtern,"etwas einfacher machen — to make easier — Das neue Tool erleichtert die Arbeit. — vereinfachen, lindern"
Auswertung,"Analyse von Daten — evaluation — Die Auswertung dauert noch. — Analyse, Bewertung"
eigenständig,"selbstständig, ohne Hilfe — independent — Er arbeitet eigenständig. — autonom, selbstständig"
stürzt,"fällt oder Computer stürzt ab — crashes — Das Programm stürzt ständig ab. — fallen, abstürzen"
fernsteuern,etwas aus der Entfernung steuern — to control remotely — Man kann die Drohne fernsteuern. — fernbedienen
Verletzung,"körperlicher Schaden — injury — Er erlitt eine Verletzung. — Wunde, Schaden"
Vernetzung,"Verbindung von Systemen — networking — Die Vernetzung ist wichtig. — Verbindung, Netzwerk"
sogenannte,"wie etwas genannt wird — so-called — Die sogenannte Elite. — genannt, angeblich"
ausschlaggebend,"entscheidend wichtig — decisive / crucial — Der Preis war ausschlaggebend. — maßgeblich, entscheidend"
absehbar,"vorhersehbar — foreseeable — Das Ende ist noch nicht absehbar. — vorhersehbar, erwartbar"
vorsehen,"planen oder festlegen — to plan / provide for — Wir sehen eine Pause vor. — planen, bestimmen"
bedenken,"etwas überlegen — to consider — Bitte bedenke die Folgen. — erwägen, überlegen"
durchgehen,"etwas prüfen oder durchsehen — to go through — Wir gehen den Vertrag durch. — überprüfen, durchsehen"
gestalten,"etwas formen oder planen — to design — Wir gestalten den Garten neu. — entwickeln, planen"
vorschreiben,"Regeln festlegen — to prescribe / dictate — Das Gesetz schreibt Regeln vor. — anordnen, bestimmen"
umfassend,"sehr vollständig — comprehensive — Die Analyse ist umfassend. — weitreichend, komplett"
großzügig,"viel gebend oder geräumig — generous / spacious — Sie ist sehr großzügig. — freigebig, weitläufig"
