Schichtplan,"Plan für Arbeitszeiten - shift schedule / duty roster - Der Manager gibt dem Mitarbeiter (D) den Schichtplan (A) des Teams (G). - Arbeitsplan, Dienstplan"
Ausnahmen,Abweichungen von einer Regel - exceptions - Der Lehrer erklärt den Schülern (D) die Ausnahmen (A) der Regel (G). - Sonderfälle
grundsätzlich,"im Kern, im Wesentlichen - basically / fundamentally - Der Chef vertraut dem Mitarbeiter (D) grundsätzlich den Plänen (A) der Firma (G). - prinzipiell"
anerkennen,etwas offiziell akzeptieren oder würdigen - to acknowledge / recognize - Die Firma anerkennt dem Mitarbeiter (D) die Leistungen (A) des Teams (G). - akzeptieren
anzünden,"etwas mit Feuer in Brand setzen - to light - Der Vater zündet dem Kind (D) die Kerze (A) des Geburtstags (G) an. - entflammen, entzünden"
ausschließen,"nicht zulassen, ausgrenzen - to exclude - Die Schule schließt dem Schüler (D) die Teilnahme (A) am Ausflug (G) aus. - fernhalten"
Besatzungszonen,"Gebiete, die von fremden Truppen besetzt sind - occupation zones - Die Alliierten teilten den Ländern (D) die Besatzungszonen (A) nach dem Krieg (G) zu. - Militärzonen"
aufteilen,in Teile gliedern - to divide / split up - Die Firma teilt den Abteilungen (D) die Aufgaben (A) des Projekts (G) auf. - verteilen
vereinigen,"zusammenführen, eins machen - to unite - Die Organisation vereint den Mitarbeitern (D) die Ressourcen (A) der Abteilung (G). - zusammenführen"
beschließen,"entscheiden, einen Beschluss fassen - to decide / resolve - Der Vorstand beschließt den Angestellten (D) die neuen Regeln (A) des Unternehmens (G). - bestimmen"
wischen,"etwas reinigen durch Reiben - to wipe / mop - Der Hausmeister wischt dem Kollegen (D) den Boden (A) des Flurs (G). - putzen, reinigen"
Seifenspender,"Behälter für Flüssigseife - soap dispenser - Die Reinigungskraft füllt dem Badpersonal (D) den Seifenspender (A) der Toilette (G) nach. - Spender, Dosierer"
reinigt,"sauber machen, säubern - cleans - Die Putzfrau reinigt dem Kunden (D) das Auto (A) des Chefs (G). - säubert, putzt"
wählen,"entscheiden oder auswählen - to choose / elect - Der Vorstand wählt dem Mitarbeiter (D) den neuen Vorsitzenden (A) der Firma (G). - aussuchen, bestimmen"
betreuen,"sich kümmern um jemanden - to take care of - Die Lehrerin betreut dem Schüler (D) die Hausaufgaben (A) der Klasse (G). - kümmern, versorgen"
herstellen,"produzieren, fertigen - to manufacture - Die Fabrik stellt dem Kunden (D) die bestellte Ware (A) des Unternehmens (G) her. - produzieren, anfertigen"
verwendet,"benutzen, einsetzen - uses - Der Techniker verwendet dem Kunden (D) das Werkzeug (A) der Werkstatt (G). - nutzen, gebrauchen"
rechtzeitig,"pünktlich, zur passenden Zeit - on time / timely - Die Mitarbeiterin liefert dem Chef (D) die Unterlagen (A) der Sitzung (G) rechtzeitig. - fristgerecht, pünktlich"
Übergriff in die Privatsphäre,"Ein Eingriff in persönliche Bereiche - intrusion into privacy - Der Journalist macht dem Politiker (D) einen Übergriff (A) in die Privatsphäre (G) vor. - Eingriff, Verletzung"
Zeitgutschrift,Anrechnung von Zeit - time credit - Die Firma gibt dem Arbeitnehmer (D) eine Zeitgutschrift (A) für Überstunden (G). - Zeitausgleich
tatsächliche,"wirkliche, reale - actual / factual - Der Chef überprüft dem Mitarbeiter (D) die tatsächlichen Zahlen (A) des Projekts (G). - real, wirklich"
der Betrieb,"Arbeitsstätte oder Unternehmen - company / operation - Der Geschäftsführer zeigt dem Investor (D) den Betrieb (A) der Fabrik (G). - Unternehmen, Firma"
Fähigkeit,"Kompetenz oder Fertigkeit - ability / skill - Der Lehrer vermittelt dem Schüler (D) die Fähigkeit (A) des Lesens (G). - Kompetenz, Talent"
Direktheit,"offene und ehrliche Art - directness - Der Chef schätzt dem Mitarbeiter (D) die Direktheit (A) im Gespräch (G). - Offenheit, Klarheit"
Anpassungsfähigkeit,"die Fähigkeit, sich anzupassen - adaptability - Die Firma verlangt von dem Mitarbeiter (D) Anpassungsfähigkeit (A) in der Arbeit (G). - Flexibilität, Anpassung"
Aussichten,"Erwartungen oder Chancen - prospects / outlook - Der Bewerber hat gute Aussichten (A) auf den Job (G) bei der Firma (D). - Chancen, Perspektiven"
Zuverlässigkeit,"Verlässlichkeit, Vertrauen - reliability - Der Kollege zeigt dem Team (D) Zuverlässigkeit (A) in allen Aufgaben (G). - Vertrauenswürdigkeit, Beständigkeit"
Stellenbörse,"Marktplatz für Jobangebote - job exchange / job board - Der Arbeitslose sucht in der Stellenbörse (D) den passenden Job (A) der Firma (G). - Jobmarkt, Arbeitsmarkt"
verpflichtet,"verantwortlich oder gebunden sein - obligated / committed - Der Mitarbeiter ist dem Unternehmen (D) verpflichtet, die Regeln (A) einzuhalten (G). - gebunden, verpflichtet"
Angeben (Daten),"Informationen bereitstellen - to provide (data) - Der Kunde gibt dem Verkäufer (D) die Angaben (A) zu den Produkten (G). - mitteilen, übermitteln"
beteiligen,"mitmachen, Teilnehmen - to participate - Die Firma beteiligt dem Team (D) an den Projekten (A) der Abteilung (G). - mitwirken, teilnehmen"
umgeben,"umringen, herum sein - to surround - Das Haus ist von Bäumen (D) umgeben, die dem Garten (A) des Nachbarn (G) Schatten spenden. - einschließen, umschließen"
angewiesen,"abhängig sein von - dependent on - Der Patient ist auf die Hilfe (A) der Pflegekräfte (D) angewiesen. - angewiesen sein, benötigen"
besetzen,"einen Platz oder eine Stelle einnehmen - to occupy / fill - Die Firma besetzt dem Bewerber (D) die Position (A) des Managers (G). - belegen, besetzen"
verschaffen,"beschaffen, ermöglichen - to procure - Der Mitarbeiter verschafft dem Chef (D) die notwendigen Dokumente (A) der Abteilung (G). - beschaffen, organisieren"
ausschließlich,"nur, einzig - exclusively - Der Vertrag gilt ausschließlich dem Kunden (D) für die Lieferung (A) der Waren (G). - nur, einzig"
orientieren,"sich ausrichten oder informieren - to orient oneself - Die neue Mitarbeiterin orientiert sich an den Kollegen (D) und dem Arbeitsplatz (A) des Teams (G). - ausrichten, informieren"
aktuellen Stand,"Der momentane Zustand - current status - Der Projektleiter informiert dem Team (D) den aktuellen Stand (A) des Projekts (G). - Status, Lage"
umstrittenes Gesetz,Gesetz mit Meinungsverschiedenheiten - controversial law - Das Parlament diskutiert dem Publikum (D) das umstrittene Gesetz (A) der Regierung (G). - strittiges Gesetz
Mehrheit,"größere Anzahl - majority - Die Mehrheit (A) der Abgeordneten (G) gibt dem Kandidaten (D) ihre Stimmen (A). - Mehrheit, Mehrheitlichkeit"
zögerte,"unsicher oder langsam reagieren - hesitated - Die Politikerin zögerte dem Rat (D) ihre Entscheidung (A) mitzuteilen (G). - zauderte, zögerte"
verabschiedet,"beschlossen oder offiziell angenommen - adopted / passed - Das Parlament verabschiedet dem Minister (D) das neue Gesetz (A) der Regierung (G). - angenommen, beschlossen"
Abstimmung,"offizielle Entscheidung - vote / ballot - Die Mitglieder geben dem Vorsitzenden (D) ihre Stimmen (A) bei der Abstimmung (G). - Wahl, Votum"
hinaus,"über etwas hinaus - beyond - Der Plan geht hinaus den Erwartungen (D) der Kunden (G). - darüber hinaus, mehr als"
Beschränkungen,"Begrenzungen oder Limits - restrictions - Die Regierung setzt dem Unternehmen (D) Beschränkungen (A) für Importe (G). - Limits, Begrenzungen"
bezüglich,"in Bezug auf - regarding - Der Brief informiert den Mitarbeiter (D) bezüglich der Änderungen (G) des Vertrags (A). - betreffend, hinsichtlich"
angewiesen,"abhängig sein von - dependent on - Das Kind ist angewiesen auf die Hilfe (A) der Eltern (D). - angewiesen, angewiesen sein"
Repräsentantenhaus,"Kammer im Parlament - House of Representatives - Das Repräsentantenhaus diskutiert dem Präsidenten (D) die neuen Gesetze (A). - Parlament, Kammer"
ursprünglich,"anfänglich, von Anfang an - originally - Der Plan war ursprünglich für die Kunden (D) gedacht, aber er änderte sich (G). - anfänglich, zuerst"
umstritten,"nicht einig, diskutiert - disputed / controversial - Das Thema ist umstritten unter den Experten (D) der Branche (G). - strittig, diskutiert"
eigene Partei,"politische Gruppe einer Person - own party - Der Politiker vertritt seiner eigenen Partei (D) im Parlament (G). - Partei, Fraktion"
erraten,"etwas richtig vermuten - to guess - Der Schüler errät dem Lehrer (D) die Antwort (A) auf die Frage (G). - raten, vermuten"
vorgeworfen,"beschuldigt werden - accused of - Dem Politiker wird vorgeworfen, die Wahrheit (A) zu verschweigen (G). - beschuldigt, bezichtigt"
Minderheitsführer,Führer der Minderheit - minority leader - Der Minderheitsführer spricht dem Parlament (D) über die Rechte (A) der Minderheit (G). - Oppositionsführer
Schulessen,"Essen in der Schule - school meal - Die Schüler bekommen dem Lehrer (D) das Schulessen (A) in der Mensa (G). - Mittagessen, Verpflegung"
Staatsverschuldung,"Schulden des Staates - national debt - Die Regierung arbeitet daran, die Staatsverschuldung (A) des Landes (G) zu reduzieren (D). - Staatsschulden"
Konkurrenz,"Wettbewerb, Mitbewerber - competition - Die Firma hat viel Konkurrenz (A) auf dem Markt (G) durch andere Unternehmen (D). - Wettbewerb, Mitbewerber"
