dessen,"whose - zeigt Besitz oder Zusammenhang an - Das Auto, dessen Motor kaputt ist."
Anliegen,concern / matter / request - wichtige Bitte oder Thema - Er hat ein dringendes Anliegen vorgebracht.
einleiten,to initiate / to introduce - starten oder offiziell beginnen - Wir wollen die Verhandlung einleiten.
locker,"loose / relaxed - nicht fest, entspannt - Die Schraube ist locker."
verwenden,"to use / to apply - benutzen, einsetzen - Bitte verwenden Sie dieses Formular."
Verabschiedung,farewell / goodbye - Abschiednehmen oder offizielles Ende - Die Verabschiedung war sehr emotional.
Eindruck,"impression - Wirkung, die etwas hinterlässt - Er hat einen guten Eindruck gemacht."
bemühen,to try / to strive - sich Mühe geben - Ich werde mich darum bemühen.
ausschlaggebend,decisive / crucial - entscheidend oder maßgeblich - Das war der ausschlaggebende Punkt.
beherzigen,to heed / to take to heart - einen Rat ernst nehmen - Du solltest diesen Rat beherzigen.
ausreichend,sufficient / enough - in genügender Menge - Die Zeit war kaum ausreichend.
unnötigen,unnecessary - nicht erforderlich - Vermeide unnötigen Stress.
Lücke,gap / blank - fehlender Teil - Es gibt eine Lücke im Text.
rasant,rapid / fast - sehr schnell - Die Entwicklung war rasant.
Anwendung,application / use - praktische Nutzung - Die Anwendung ist einfach.
Anwendungsmöglichkeiten,possible applications - denkbare Nutzungen - Die Anwendungsmöglichkeiten sind vielfältig.
Rückschlüsse,inferences / conclusions - logische Folgerungen - Man kann Rückschlüsse aus den Daten ziehen.
vielfältig,diverse / varied - reich an Abwechslung - Das Angebot ist vielfältig.
Datenübermittlung,data transmission - Übertragung von Informationen - Die Datenübermittlung erfolgt verschlüsselt.
ständige,constant / permanent - andauernd oder regelmäßig - Er steht in ständigem Kontakt.
Gefahr,danger - Risiko oder Bedrohung - Hier besteht akute Gefahr.
lässt Verhalten,suggests behavior - weist auf Verhalten hin - Das Muster lässt auf Verhalten schließen.
irritiert,confused / unsettled - verwirrt oder verunsichert - Er wirkte irritiert.
anbringen,to attach - befestigen - Man kann das Schild leicht anbringen.
aufbringen,to apply / to enrage - auftragen oder wütend machen - Sie konnte die Farbe nicht aufbringen.
ausbringen,to bring out / to yield - verteilen oder ernten - Der Bauer bringt Dünger aus.
fernbringen,to take far away - weit weg bringen - Sie will ihn fernbringen von der Stadt.
überbringen,to deliver / to convey - übermitteln oder aushändigen - Er überbrachte die Nachricht persönlich.
umbringen,to kill - töten - Der Mörder wollte das Opfer umbringen.
erbringen,to deliver / to provide - leisten oder hervorbringen - Er konnte den Beweis erbringen.
eigenständig,"independent / autonomous - selbstbestimmt, unabhängig - Er arbeitet eigenständig an dem Projekt."
bestimmt,"certain / definitely - sicher, gewiss - Sie kommt bestimmt später vorbei."
schier,"sheer / almost - fast, beinahe - Das war schier unmöglich."
Vertretung,representation / substitute - Stellvertretung oder Repräsentanz - Frau Meier übernimmt die Vertretung.
Abteilung,department - organisatorische Einheit - Er arbeitet in der IT-Abteilung.
gesenkt,lowered / reduced - herabgesetzt - Die Preise wurden gesenkt.
auslagern,to outsource - aus dem Unternehmen verlagern - Wir wollen die Produktion auslagern.
angehören,to belong to - Teil von etwas sein - Sie gehört dem Ausschuss an.
ablehnen,"to reject / to refuse - zurückweisen, nicht akzeptieren - Er hat das Angebot abgelehnt."
klein halten,to keep small - etwas begrenzen - Wir wollen die Kosten klein halten.
übertragen,to transfer / to transmit - weitergeben oder übertragen - Die Rechte wurden übertragen.
bestimmte Leistungen,specific services - konkrete Dienste oder Angebote - Bestimmte Leistungen werden nicht übernommen.
vertreten,to represent / to substitute - repräsentieren oder vertreten - Ich vertrete heute meinen Kollegen.
befürworten,to support / to advocate - positiv beurteilen - Ich befürworte den Vorschlag.
sicherstellen,to ensure / to secure - garantieren oder absichern - Wir müssen die Qualität sicherstellen.
wehrt,defends / resists - wehrt sich gegen etwas - Er wehrt sich gegen die Vorwürfe.
kurbelt,stimulates / boosts - steigert oder fördert - Die Werbung kurbelt den Umsatz an.
einigen,to agree / to settle - sich verständigen - Sie einigten sich auf einen Kompromiss.
Arbeitsfrieden,industrial peace - Zustand ohne Arbeitskonflikte - Der Tarifvertrag sichert den Arbeitsfrieden.
aufgehoben werden,to be lifted / cancelled - nicht mehr gültig sein - Die Regelung wurde aufgehoben.
Arbeitsverbände,labor unions / organizations - Zusammenschlüsse von Arbeitnehmern - Die Arbeitsverbände verhandeln neue Verträge.
Urabstimmung,strike ballot - Abstimmung über Streik - Die Urabstimmung fiel positiv aus.
Gewerkschaftsmitglieder,union members - Mitglieder einer Gewerkschaft - Viele Gewerkschaftsmitglieder beteiligten sich.
vermieden werden,to be avoided - nicht passieren sollen - Fehler sollen vermieden werden.
erzielen,"to achieve / to obtain - erreichen, schaffen - Wir konnten gute Ergebnisse erzielen."
Honorar,fee / honorarium - Bezahlung für Dienstleistung - Das Honorar wurde pünktlich gezahlt.
Sold,pay (military) - Geld für Soldaten - Die Soldaten erhalten regelmäßig ihren Sold.
Konzerngewinn,corporate profit - Gewinn eines Unternehmens - Der Konzerngewinn stieg stark an.
eher gelassen,"rather relaxed / calm - ruhig, entspannt - Sie reagierte eher gelassen."
Entlassungen,layoffs / dismissals - Beendigungen von Arbeitsverhältnissen - Die Firma plant Entlassungen.
Gleitzeit,flexitime - flexible Arbeitszeiten - Die Firma bietet Gleitzeit an.
Verluste,losses - finanzielle Einbußen - Das Unternehmen meldet Verluste.
treten,to step / to occur - gehen oder erscheinen - Er trat in den Raum.
traten,stepped / occurred - Vergangenheitsform von treten - Probleme traten plötzlich auf.
abgelehnt,rejected - nicht angenommen - Der Antrag wurde abgelehnt.
abgerufen,retrieved / accessed - abgefragt oder geholt - Die Daten wurden abgerufen.
